1,3D Wood Puzzles,3 Dimensional Wooden Puzzles,206-625-1388,P.O. Box 16010,Seattle,WA,98116,info@3dwoodpuzzles.com,www.3dwoodpuzzles.com,Open daily 10:00 a.m. - 5:00 p.m.,,"We offer one-of-a-kind three dimensional wooden puzzles for almost all ages. From dragon to the Space Needle, we have more than 100 different items!<br /><br />Located under the clock and down the ramp from Pike Place Fish<br />",000000094,0,0
542,Shine in the Market,Full service Hair Salon,206.441.3000,86 Pine St,Seattle,WA,98101,shineinthemarket@gmail.com,shineinthemarket.com,Tuesday-Saturday 10:00-6:00,First Avenue & Upper Post Alley,"Shine is a boutique hair salon with a penchant for the modern and an appreciation for the classics. Relax and rejuvenate.Â  Enjoy the atmosphere of the market in the comfort of the salon.Â  A place you'll look forward to spending a part of your day. <br /><br />Located in the courtyard of the Inn at the Market",000000070,0,0
3,A.T. Random Products,,206-223-7667,,,,,,,,Main Arcade,,000000050,0,0
4,Vida Loca - April Acevez Cameron,,425-778-9598,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000036,0,0
5,Afghani Crafts,"Embroidered Clothing, Scarves, and Jewelry",206-447-9407,1501 Pike Place #512,Seattle,WA,98101,,,"Daily from 10am - 6pm ",DownUnder,"Unique imported clothing from Afghanistan, India and Pakistan. Handmade Afghani Lapis jewelry. Many different kind of scarves and hats, all made of natural fiber. <br />",000000050,0,0
6,Ageless Acupuncture,,206-903-1888,,,,,,,,DownUnder,,000000071,0,0
7,Alberg Farm,,509-968-3880,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000013,0,0
8,Seattle Rainwater Soap Co. - Scott Alberts & Becky Boutch,Handmade soap and bath products,206-501-1736,,,,,rainwatersoap@gmail.com,www.seattlerainwatersoap.com,Every Sunday and Monday. Weekdays vary; email or call for schedule.,"North Arcade, Desimone Bridge & on Pike Place","Handmade soaps and body products made with pure Seattle rainwater. Â Inspired by the scents of Washington Fruits &amp; Flowers, the Great Northwest, and the Seattle Coffee Bar experience. Handcrafted bathroom accessories. Come by and indulge your senses.<br />",000000029,0,0
9,Alibi Room,"Pizza, Drinks, Salads",206-623-3180,85 Pike Street #410,Seattle,WA,98101,info@seattlealibi.com,www.seattlealibi.com,Open daily 4:00 pm - 2 am,LaSalle,"The Alibi Room features brick oven pizzas using the freshest Market vegetables, meats, and cheeses. DJs and dancing every Friday and Saturday from 10 pm - 1:30 am. Private parties available.    Open daily   4:00 pm - 2 am    In lower Post Alley",000000089,0,0
10,All Things Lavender,"Lavender products and gifts from Washington's beautiful Olympic Peninsula",206-652-5951,76 Pike St. #2,Seattle,WA,98101,"angelfarm@wavecable.com, thewearygardener@hotmail.com",www.thewearygardener.com,,Main Arcade,Lavender products to pamper your body and soul. Bath and Body products - Home and Comforts - Sachets - Gifts - Aromatherapy - Culinary Delights - Pet Products - Handcrafted Linens. Dried lavender bouquets and buds. Located right down from Pike Place Fish Market toward Sound View Cafe on the historic Flower Row. Come enjoy our beautiful view of the Puget Sound!,000000048,0,0
11,Sumon Company - Symbols in Art - Jeffery & Kathi Allen,Cast Wall Art and Crosses,425-830-1003,,,,,kallen@nwlink.com,www.sumon.com,Friday - Monday 10 - 4:30,"North Arcade, Desimone Bridge & on Pike Place","Handcrafted wall art plaques reflecting images of five of the world's great religions. Carefully and thoughtfully designed Christian, Judaic, Buddhist, Islamic and Hindu images in refined castings with sophisticated stains and finishes. Located in the North Arcade/outside in Spring and Summer. Main Arcade near Rachel the Pig in the Winter.<br /><br />",000000042,0,0
12,Alm Hill Gardens,"Berries, Tulips, Ripe Tomatoes",360-966-4157,3550 Alm Road,Everson,WA,98247,allhillgardens@aol.com,,"Sunday - Saturday, January - December, Off in May and October","North Arcade, Desimone Bridge & on Pike Place","Alm Hill Gardens is a small diversified fruit, flower and vegetable farm in the foothills of the Cascade mountains in Northwest Washington. We specialize in high quality, direct to the consumer farm-fresh produce and flowers. For 25 years, we have used sustainable and organic farming methods, and have developed a reputation for good taste and reliability. Located at the corner by City Fish<br /><strong><br /></strong>","000000025,000000053",0,0
13,Alvarez Farms,,509-837-2381,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000025,0,0
14,American Inst. Arch.,,206-448-4938,,,,,,,,First Avenue & Upper Post Alley,,000000067,0,0
15,Moon Valley Designs - Jose Luis Amesquita,"Earrings, bracelets and necklaces",206-938-9445,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",<p>Sterling silver &amp; braided leather jewelry.</p>,000000037,0,0
16,Graig Anderson Sculpture,Sculpture & Paintings,,#166 1916 Pike Place #12,Seattle,WA,98101,,,Thursday and Sunday (not regular),"North Arcade, Desimone Bridge & on Pike Place","New work daily. Polymer clay is form baked and carved. An acrylic painting is applied to a gesso surface and varnished. Any three sculptures can be hung on a mobile for no additional charge. Feel free to leave a request. Also available: ceramic, paper machÃ© and 2-D paintings and drawings.<br />",000000042,0,0
17,The Fay Farm - Stacy Anderson & Michael Yocco,"Healing Salves, Sensational Body Butters & Goat Milk Soaps, Quality Hand-Crafted Body Care Products",360-222-3036,913 Tomchuck Lane,Greenbank,WA,98253,soapmaker@thefayfarm.com,www.thefayfarm.com,5 -7 days a week,"North Arcade, Desimone Bridge & on Pike Place","The Fay Farm is dedicated to creating quality hand-crafted and sensational body care products. We offer an extensive line of goat's milk soaps, shea &amp; hemp body butters, as well as our highly acclaimed Healing Hemp Salve, which is an excellent topical treatment for psoriasis and eczema. Our natural handcrafted line of body care products were created to heal and moisturize you and your loved ones. We are confident you will enjoy our line of products and look forward to becoming a part of your life.",000000029,0,0
18,Primal Screens,Sarah & Steve Angell,206-784-5266,,,,,,,,"North Arcade, Desimone Bridge & on Pike Place",,000000032,0,0
19,Animal Gifts & Collectibles,,206-623-3212,,,,,,,,DownUnder,,000000047,0,0
20,Antique Touch,,206-622-6499,,,,,,,,DownUnder,,000000047,0,0
21,Antiques At Pike Place,Antiques and Collectibles,206-441-9643,92 Stewart St.,Seattle,WA,98101,janemoo@nwlink.com,,Mon-Sat 10am-6pm; Sunday 12pm-5pm,First Avenue & Upper Post Alley,"A treasure-filled experience awaits you at Seattles finest antique store! Everything from Victorian to Art Deco in the heart of the Pike Place Market. Over 5,000 square feet to explore. Open daily at the corner of Post Alley and Stewart St. On Stewart between 1st and Post Alley <br />",000000047,0,0
